College Name|College ID|USN|Stundet Name|10th Percentage|12th Percentage|College CGPA|Course|Coding Test Time|Coding Test Score
Joseph Horton|JOSE|JOSE00124|Ronald Price|75.6|93.3 %|9.1|CSE-ML|21 Jun 2022 10:21:23+0800|2
William Webster|WILL|WILL00125|Donna Madden|94.7|81.4|8.1|CSE-ML|13 Sep 2022 21:00:35+0800|11
Traci Maynard|TRAC|TRAC00126|Kristin Simmons|79.5|95.5|7.5|MECH|24 Dec 2022 17:03:55-0300|10
Michael Green|MICH|MICH00127|Hannah White|89.9|88.5|8.1|CSE-AI|28 Nov 2022 03:52:57-0300|10
Pamela Harris|PAME|PAME00128|Brandon Taylor|78.7|76.9 %|9.8|MECH|08 Mar 2023 03:33:02+0800|7
Traci Maynard|TRAC|TRAC00129|Melissa Mitchell|92.6|91.6 Perc|9.0|CSE-AI|16 Jun 2022 10:07:24+0530|5
Joseph Horton|JOSE|JOSE00130|Jessica Ramos|78.1|84.6 %|8.5|MECH|17 Feb 2023 06:58:07+0000|4
Raymond Russell|RAYM|RAYM00131|Vicki Shields|78.3|89.2 Perc|8.2|MECH|28 Mar 2023 03:57:14+0000|1
Laura Sawyer|LAUR|LAUR00132|Katherine Warren|92.7|82.9 Perc|9.0|CSE-ML|09 Jan 2023 20:24:04-0300|0
Laura Sawyer|LAUR|LAUR00133|Wesley Long|81.5|82.9|9.3|MECH|06 Feb 2023 15:32:45+0530|9
Cheryl Adams|CHER|CHER00134|Mckenzie Beck|75.7|94.3 %|8.6|CSE-AI|26 Jul 2022 23:13:59-0400|13
Michael Green|MICH|MICH00135|David Rogers|96.0|87.4 Perc|9.1|CSE-AI|23 Apr 2023 15:10:04+0530|10
Cheryl Adams|CHER|CHER00136|Jill Adkins|88.0|98.8 %|9.3|CSE-ML|13 Sep 2022 21:00:35+0800|7
Traci Maynard|TRAC|TRAC00137|Evan Harmon|77.5|81.6 Perc|8.5|CSE-ML|06 Apr 2023 05:28:36-0400|13
Ryan Gonzalez|RYAN|RYAN00138|Melissa Schultz|78.2|96.0 Perc|8.9|CSE-AI|29 Nov 2022 14:00:33+0530|14
Michelle Pineda|MICH|MICH00139|Andrea Hayes|78.8|78.6 %|8.8|CSE-AI|12 Dec 2022 16:10:36-0300|5
William Webster|WILL|WILL00140|Christopher Moreno|78.2|93.6|8.8|MECH|22 Apr 2023 15:02:30-0400|4
Christopher Mcneil|CHRI|CHRI00141|Samantha Moses|97.4|78.5 %|8.7|MECH|19 Mar 2023 18:42:27+0530|6
Pamela Harris|PAME|PAME00142|Jose Lee|85.5|80.9|8.4|CSE|03 Mar 2023 19:20:34+0800|2
Mr. Joshua Summers DDS|MR. |MR. 00143|Mrs. Angela Calderon DVM|92.3|91.6 %|7.6|CSE|23 Jun 2022 20:41:14+0530|11
Andrew Murphy|ANDR|ANDR00144|Mrs. Stephanie Ward|86.2|87.6|9.7|CSE-ML|17 Jun 2022 22:54:05-0400|12
Michael Green|MICH|MICH00145|Kirk Washington|76.3|85.0 %|8.1|CSE|20 Aug 2022 19:57:42-0400|5
Andrew Diaz|ANDR|ANDR00146|Danielle Hoover|92.8|96.1 Perc|8.4|MECH|13 Mar 2023 19:21:35+0530|4
William Webster|WILL|WILL00147|Norman Pacheco|82.4|80.8|8.0|CSE|23 Oct 2022 18:19:24-0300|9
Cheryl Adams|CHER|CHER00148|Susan Baker|79.5|82.3 %|9.0|CSE|07 May 2023 11:58:56+0530|7
Lauren Jones|LAUR|LAUR00149|Jonathan Hickman|97.9|97.6 %|7.5|MECH|12 May 2023 15:36:08+0530|11
Lauren Jones|LAUR|LAUR00150|Alicia Long|83.1|77.3 %|7.8|CSE|02 Aug 2022 03:43:01-0400|8
Timothy Rodriguez|TIMO|TIMO00151|Kimberly Robinson|86.2|80.1 Perc|7.6|CSE-ML|13 Dec 2022 16:03:27+0800|13
Timothy Rodriguez|TIMO|TIMO00152|Anthony Wells|77.1|95.0 Perc|7.9|MECH|08 Aug 2022 05:40:31+0800|6
Alexis Dean|ALEX|ALEX00153|John Fields|94.6|90.1 %|8.2|CSE-ML|18 Aug 2022 11:37:51+0000|14
Laura Sawyer|LAUR|LAUR00154|Toni Garcia|78.6|96.2 %|9.2|CSE-ML|27 Jun 2022 15:10:38+0800|8
Christopher Mcneil|CHRI|CHRI00155|Alexa Miller|75.3|96.1 Perc|7.7|MECH|22 Mar 2023 04:40:20-0300|9
Alexis Dean|ALEX|ALEX00156|Alicia Martinez|85.8|90.7 %|9.1|MECH|05 Dec 2022 15:10:30+0800|6
Brandon Barker|BRAN|BRAN00157|Kathryn Lee|87.9|91.2|8.8|CSE|12 Jan 2023 06:47:28+0800|7
Mr. Joshua Summers DDS|MR. |MR. 00158|Mr. John Heath|95.7|84.1 Perc|8.0|CSE-ML|20 Apr 2023 06:39:50+0000|5
Cheryl Adams|CHER|CHER00159|John Conley|90.1|86.8 %|9.9|CSE-AI|28 Sep 2022 02:29:40-0300|11
Alexis Dean|ALEX|ALEX00160|Christopher Bailey|84.4|87.4 %|9.7|CSE|25 Apr 2023 06:03:48+0800|3
Andrew Diaz|ANDR|ANDR00161|Whitney Ferguson|82.4|79.7|9.9|MECH|01 Nov 2022 06:50:01+0530|10
Timothy Rodriguez|TIMO|TIMO00162|Christopher Hanson|87.5|98.8 Perc|9.0|MECH|18 Apr 2023 20:06:14+0000|9
Lauren Jones|LAUR|LAUR00163|Tyler Martinez|96.5|77.6|7.7|CSE-ML|03 Feb 2023 03:59:56+0800|2
Ryan Gonzalez|RYAN|RYAN00164|Tamara Bowman|98.0|84.2 %|7.5|CSE|17 Dec 2022 07:04:17-0300|11
Cheryl Adams|CHER|CHER00165|Jasmine Clark|91.1|88.1 Perc|7.8|MECH|01 Feb 2023 01:37:28+0800|14
Traci Maynard|TRAC|TRAC00166|Cassidy Lambert|91.0|75.1 %|9.0|MECH|06 Dec 2022 22:44:05+0800|11
Andrew Murphy|ANDR|ANDR00167|Judith Henry|82.7|97.0 Perc|9.8|CSE|02 Aug 2022 03:43:01-0400|13
Mitchell Scott|MITC|MITC00168|Colleen Martinez|88.6|77.3|7.7|MECH|10 Apr 2023 11:20:44+0000|10
Michael Green|MICH|MICH00169|Nicole Zimmerman|93.3|96.9 %|8.0|CSE-ML|07 Jan 2023 20:39:21+0000|11
Laura Sawyer|LAUR|LAUR00170|Austin Parrish|77.1|79.5|9.8|CSE-ML|05 Dec 2022 15:10:30+0800|11
Christopher Mcneil|CHRI|CHRI00171|Ryan Sharp|78.3|78.5 Perc|8.7|MECH|12 Dec 2022 16:10:36-0300|14
Timothy Rodriguez|TIMO|TIMO00172|Mrs. Tracy Wolfe|93.0|86.7 Perc|7.8|CSE-ML|11 Jan 2023 15:57:31+0530|1
Traci Maynard|TRAC|TRAC00173|Charles Johnson|93.8|77.8|7.9|MECH|20 Apr 2023 06:39:50+0000|5
Pamela Harris|PAME|PAME00174|William Myers|83.4|81.9 %|9.7|CSE-ML|23 Feb 2023 23:52:40+0800|7
William Webster|WILL|WILL00175|Lisa Gordon|85.2|79.7 Perc|8.0|MECH|21 Oct 2022 16:44:19+0530|8
Cheryl Adams|CHER|CHER00176|Christopher Aguilar|93.3|85.6|8.9|CSE-AI|17 Oct 2022 02:48:32+0800|10
Traci Maynard|TRAC|TRAC00177|Jeffrey Robinson|86.2|78.5 Perc|7.7|MECH|17 Jul 2022 18:57:28+0800|4
Michael Green|MICH|MICH00178|Molly White|98.1|85.5|8.8|CSE|08 Jul 2022 17:34:59+0530|14
Christopher Mcneil|CHRI|CHRI00179|Chase Hull|93.2|85.3|9.4|CSE-AI|30 May 2023 07:41:00+0530|8
Traci Maynard|TRAC|TRAC00180|Colleen Chapman|87.9|93.3 Perc|9.8|MECH|19 Oct 2022 09:33:19-0300|8
Laura Sawyer|LAUR|LAUR00181|Mary Bowman|98.1|98.5 Perc|8.8|MECH|27 May 2023 04:03:26+0530|5
Andrew Diaz|ANDR|ANDR00182|Cody Atkins|88.6|82.2 Perc|9.8|MECH|03 Sep 2022 15:08:29+0000|14
Laura Sawyer|LAUR|LAUR00183|Lynn Yoder MD|78.4|86.3 Perc|7.8|MECH|21 Jul 2022 02:42:34-0400|14
William Webster|WILL|WILL00184|Logan Gibson|84.5|88.8 %|9.8|CSE|11 Mar 2023 22:54:54+0800|2
Brandon Barker|BRAN|BRAN00185|James Church|86.8|89.0 %|8.9|MECH|09 Apr 2023 21:37:25+0800|7
Pamela Harris|PAME|PAME00186|Robert Wilson|92.6|76.7|9.0|MECH|14 Feb 2023 14:26:31+0530|12
Michael Green|MICH|MICH00187|Kimberly Lewis|95.3|97.6 Perc|9.4|MECH|14 May 2023 19:54:40+0000|1
Brandon Barker|BRAN|BRAN00188|Tracy Robinson|75.0|82.5 Perc|9.8|CSE|29 Aug 2022 09:56:48-0400|2
Joseph Horton|JOSE|JOSE00189|Meghan Vasquez|92.7|83.9|9.2|CSE-ML|07 Sep 2022 23:03:25+0800|7
Mr. Joshua Summers DDS|MR. |MR. 00190|John Atkins|84.2|94.9 Perc|8.7|CSE-AI|10 Aug 2022 20:50:48+0000|1
Joseph Horton|JOSE|JOSE00191|Jennifer Wells|98.0|99.8 %|8.4|MECH|10 Dec 2022 20:36:22+0800|8
Mitchell Scott|MITC|MITC00192|Stephanie Ramirez|91.0|78.2 %|8.5|MECH|18 Nov 2022 00:10:32+0800|4
Lauren Jones|LAUR|LAUR00193|Linda White|82.7|75.5 %|8.1|MECH|26 Aug 2022 03:40:36+0000|8
Timothy Rodriguez|TIMO|TIMO00194|Luke Murphy|78.6|97.8 %|9.6|CSE-AI|11 Aug 2022 20:59:48-0400|8
Lauren Jones|LAUR|LAUR00195|Thomas Swanson|92.2|92.1 Perc|8.6|CSE-AI|18 Jan 2023 14:45:48+0000|13
Pamela Harris|PAME|PAME00196|Ashley Harris|83.6|79.4 %|9.8|MECH|25 Dec 2022 10:51:24-0300|13
Raymond Russell|RAYM|RAYM00197|Michael Potts|83.0|83.3 %|9.7|CSE-AI|17 Sep 2022 13:13:09-0300|12
Christopher Mcneil|CHRI|CHRI00198|Robert George|95.3|97.4 Perc|8.0|MECH|06 Oct 2022 17:14:46+0530|6
Mitchell Scott|MITC|MITC00199|Joseph Park|82.7|90.9|8.1|MECH|27 Nov 2022 10:07:43+0000|14
Andrew Diaz|ANDR|ANDR00200|Paul Mitchell|80.3|79.9|7.7|CSE-ML|29 Jul 2022 14:58:56+0800|4
Michael Green|MICH|MICH00201|Mitchell Warren|93.4|91.6 Perc|8.0|CSE-AI|02 Jun 2023 09:04:19+0530|7
Brandon Barker|BRAN|BRAN00202|Ann Davenport|98.5|88.1 %|8.6|CSE-AI|12 Jan 2023 06:47:28+0800|14
Ryan Gonzalez|RYAN|RYAN00203|Jacqueline Edwards|95.2|88.0 %|9.5|CSE-ML|22 Mar 2023 04:40:20-0300|11
Ryan Gonzalez|RYAN|RYAN00204|James Gonzalez|91.6|88.7 %|9.7|MECH|18 Dec 2022 11:45:47+0000|13
